TN	Cue	Valid	Reaction Time	Correct
1	L	T	1.8785245999970357	T
2	R	T	1.1044238000031328	T
3	L	F	1.0331118999965838	T
4	L	T	0.28222050000476884	T
5	L	T	0.3749104999951669	T
6	L	T	0.4138944000005722	T
7	L	T	0.3244955999980448	T
8	R	T	0.366545099997893	T
9	R	T	0.36918810000497615	T
10	R	F	0.2518402000059723	T
11	R	T	0.28854259999934584	T
12	L	F	0.3173557999980403	T
13	L	T	0.21903179999935674	T
14	R	T	0.2287125000002561	T
15	L	F	0.3762621999994735	T
16	R	T	0.1993270999955712	T
17	R	F	0.22609319999901345	T
18	L	T	0.2832029000055627	T
19	L	T	0.28689639999356586	T
20	L	T	0.280636700001196	T
21	L	T	0.30820249999669613	T
22	L	T	0.27925259999756236	T
23	L	T	0.2546218999996199	T
24	R	T	0.23212299999431707	F
25	R	F	0.3034431999985827	T
26	L	T	0.33525340000051074	T
27	L	T	0.29659649999666726	T
28	L	T	0.3050006999983452	T
29	L	T	0.289004099999147	T
30	R	F	0.4654701999970712	T
31	L	T	0.30543549999856623	T
32	R	T	0.31575579999480397	T
33	R	F	0.29119319999881554	T
34	L	F	0.24297609999484848	T
35	L	T	0.3450905999998213	T
36	R	T	0.2650378999969689	T
37	L	T	0.32186880000517704	T
38	R	T	0.2783685000031255	T
39	R	T	0.5797829000002821	T
40	L	T	0.27458710000064457	T
41	R	F	0.4638790999961202	T
42	L	T	0.4236090999984299	T
43	R	T	0.2560838999997941	T
44	L	T	0.33482460000232095	T
45	R	F	0.3316662999932305	T
46	L	T	0.31238869999651797	T
47	L	T	0.2934858000007807	T
48	L	F	0.3264620999980252	T
49	R	T	0.360552899997856	T
50	L	T	0.27566050000314135	T
51	R	T	0.2688876000029268	T
52	R	T	0.37057430000277236	T
53	R	T	0.3674835999991046	T
54	L	T	0.4938451999987592	T
55	L	T	0.38992199999484	F
56	R	F	0.40641019999748096	T
57	L	F	0.3214942999984487	T
58	L	T	0.2123753999985638	T
59	L	T	0.33083820000319974	T
60	L	T	0.279208900006779	T
61	L	T	0.2501736000049277	T
62	R	T	0.34348539999336936	T
63	L	T	0.2585789000004297	T
64	L	T	0.2698515000010957	T
65	L	T	0.29339099999924656	T
66	L	T	0.4074920999992173	T
67	L	T	0.29317710000032093	T
68	R	F	0.3375845999980811	T
69	L	T	0.2680919999984326	T
70	L	T	0.2462625999978627	T
71	L	T	0.2464352000024519	T
72	L	F	0.4964633000054164	T
73	L	T	0.28793259999656584	T
74	L	T	0.364969199996267	T
75	R	T	0.3698912999971071	T
76	L	T	0.42269719999603694	T
77	L	T	0.31767730000137817	T
78	L	F	0.4369280999962939	T
79	L	F	0.46125909999682335	T
80	L	F	0.42212930000096094	T
81	R	T	0.35578679999889573	T
82	R	T	0.3900435000032303	T
83	L	T	0.23660389999713516	T
84	R	T	0.46641010000166716	T
85	R	T	0.46882140000525396	T
86	L	T	1.3237888000003295	T
87	R	T	0.25839450000057695	T
88	R	T	0.251863699995738	T
89	L	F	0.25475449999794364	T
90	R	T	0.21265419999690494	T
91	R	F	0.2452040999996825	T
92	L	F	0.22476149999420159	T
93	L	F	0.3535587999940617	T
94	L	F	0.16943469999387162	F
95	R	F	0.2263477000014973	T
96	R	T	0.3702370000028168	T
97	L	T	0.38847489999898244	T
98	L	T	0.3041280000034021	T
99	R	T	0.23312260000238894	T
100	L	T	0.3381895999991684	T
101	L	T	0.30320770000253106	T
102	R	T	0.33683839999866905	T
103	R	F	0.32975200000510085	T
104	L	T	0.4472687000015867	T
105	L	T	0.36389410000265343	T
106	R	F	0.3097829000034835	T
107	L	T	0.24475279999751365	T
108	R	T	0.543431199999759	T
109	L	F	0.41895089999889024	T
110	L	T	0.5898871999961557	T
111	L	T	0.6295601000019815	T
112	L	T	0.841861599998083	T
113	L	T	0.2742560999977286	T
114	R	T	0.34329860000434564	T
115	R	T	0.38186700000369456	T
116	L	T	0.430668599998171	T
117	R	T	0.32273200000054203	T
118	L	T	0.5117679000031785	T
119	R	T	0.29823359999863897	T
120	R	T	0.27299910000147065	T
121	L	T	0.22931399999652058	T
122	R	T	0.24577339999814285	T
123	R	T	0.30533640000066953	T
124	L	F	0.3500233000013395	T
125	L	T	0.2881883000009111	T
126	R	T	0.3333576000004541	T
127	R	T	0.3323104000010062	T
128	L	T	0.30338510000001406	T
129	R	F	0.35249299999850336	T
130	R	T	0.22912820000055945	T
131	L	T	0.2831279000020004	T
132	R	T	0.2358650999958627	T
133	R	F	0.2387105999951018	T
134	R	T	0.20886450000398327	T
135	L	T	0.23678850000578677	T
136	R	T	0.1917466000013519	T
137	L	F	0.2681405999974231	F
138	R	T	0.39721089999511605	T
139	R	F	0.35248829999909503	T
140	R	T	0.38875939999707043	T
141	R	T	0.2921282000024803	T
142	R	F	0.42666579999786336	T
143	R	F	0.2198285999984364	F
144	R	T	0.2776880999954301	T
145	R	T	0.6458667999977479	T
146	L	F	0.60238670000399	T
147	L	F	0.41022399999928894	T
148	R	F	0.3397268999979133	T
149	R	F	0.38329289999819594	T
150	L	T	0.35325210000155494	T
151	L	T	0.3973430999976699	T
152	R	T	0.584766200001468	T
153	R	T	0.41186069999821484	T
154	R	T	0.3209396999955061	T
155	L	T	0.4753668999983347	T
156	R	T	0.32213810000394005	T
157	L	F	0.4112888999952702	T
158	R	T	0.32854219999717316	T
159	R	T	0.2986956000022474	T
160	R	T	0.3630004000006011	T
161	L	T	0.3239069000046584	T
162	L	F	0.501747800000885	T
163	R	T	0.39290189999883296	T
164	L	T	0.512642900001083	T
165	L	F	0.3405077999996138	T
166	R	T	0.3516213999973843	T
167	R	F	0.5195276000013109	T
168	L	T	0.47183579999546055	T
169	L	T	0.5773197999951662	T
170	L	T	0.41248690000065835	T
171	R	T	0.5065402000036556	T
172	L	F	0.5660648999983096	T
173	L	T	0.2911928000030457	T
174	R	F	0.3449642000050517	T
175	L	T	0.3199966000029235	T
176	R	T	0.3055817999993451	T
177	R	T	0.3219754000019748	T
178	R	T	0.3373330999966129	T
179	L	T	0.2782357999967644	T
180	R	T	0.2302720000006957	T
181	L	F	0.30450070000370033	T
182	R	T	0.3072803000031854	T
183	L	T	0.24515529999916907	T
184	R	T	0.2445716000001994	T
185	R	T	0.374405199996545	T
186	L	T	0.26116389999515377	T
187	R	T	0.21783339999819873	T
188	L	T	0.28327790000184905	T
189	R	T	0.15012719999504043	T
190	L	T	0.21426819999760482	T
191	R	F	0.36123850000149105	T
192	L	T	0.2611703000002308	T
193	L	T	0.31784649999463	T
194	L	T	0.2643515000017942	T
195	R	T	0.31048179999925196	T
196	R	T	0.2521901000000071	T
197	L	T	0.19731250000040745	T
198	L	F	0.21407410000392701	T
199	L	T	0.28062640000280226	T
200	L	T	0.37936679999984335	T
