TN	Cue	Valid	Reaction Time	Correct
1	L	T	0.2406639000037103	T
2	L	F	0.36481889999413397	T
3	R	F	0.22800280000228668	T
4	R	T	0.2491840000002412	T
5	L	T	0.1955874000050244	T
6	L	T	0.30484189999697264	T
7	L	F	0.2098305999970762	T
8	R	F	0.22268849999818485	T
9	L	F	0.20649100000446197	T
10	L	F	0.36650380000355653	T
11	L	F	0.43139560000417987	T
12	L	T	0.24886859999969602	T
13	R	T	0.23260100000334205	T
14	L	T	0.24931029999424936	T
15	R	T	0.19194799999968382	T
16	R	F	0.24137380000320263	T
17	L	F	0.2732229999965057	T
18	L	T	0.26565300000220304	T
19	R	T	0.24587520000204677	T
20	R	T	0.3305151000022306	T
21	L	T	0.23630440000124509	T
22	L	T	0.3973674000008032	T
23	R	F	0.183314199995948	F
24	R	T	0.5428514999948675	T
25	R	T	0.31308359999820823	T
26	L	F	0.31065839999791933	T
27	R	T	0.2883555000007618	T
28	R	F	0.27218900000298163	T
29	R	T	0.27239430000190623	T
30	R	T	0.2718155999973533	T
31	L	F	0.27120339999964926	T
32	R	T	0.2740455000021029	T
33	L	T	0.25652699999773176	T
34	R	T	0.2707864999974845	T
35	R	F	0.23388510000222595	T
36	L	T	0.395418600004632	T
37	L	F	0.22720380000100704	T
38	L	T	0.19947980000142707	T
39	L	F	0.27404399999795714	T
40	R	T	0.2929344000003766	T
41	L	F	0.4014568999991752	T
42	R	T	0.22890170000027865	T
43	L	T	0.29523100000369595	T
44	L	T	0.22847490000276593	F
45	L	T	0.34871510000084527	T
46	R	T	0.22147799999947893	T
47	L	T	0.2122760999991442	T
48	L	F	0.2506250000005821	T
49	R	T	0.2777096999998321	T
50	L	F	0.27236379999521887	T
51	L	T	0.25782859999890206	T
52	L	T	0.3185596999974223	T
53	L	F	0.20635820000461536	T
54	L	T	0.2266784000021289	T
55	L	T	0.32446590000472497	T
56	R	T	0.211290100000042	T
57	R	T	0.28832219999458175	T
58	L	T	0.23335700000461657	T
59	L	T	0.3473854999974719	T
60	L	F	0.2334086999981082	T
